,Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
249939,Aliaksei Shostak,M,United States,USA,2024,Paris,Trampoline Gymnastics,Men,No medal
249940,Asher Hong,M,United States,USA,2024,Paris,Artistic Gymnastics,Men,No medal
249941,Asher Hong,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal
249942,Asher Hong,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal
249943,Asher Hong,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal
249944,Asher Hong,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal
249945,Asher Hong,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Rings,No medal
249946,Asher Hong,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Vault,No medal
249947,Asher Hong,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Team,Bronze
249948,Evita Griskenas,F,United States,USA,2024,Paris,Rhythmic Gymnastics,Individual All-Around,No medal
249949,Frederick Richard,M,United States,USA,2024,Paris,Artistic Gymnastics,Men,No medal
249950,Frederick Richard,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's All-Around,No medal
249951,Frederick Richard,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal
249952,Frederick Richard,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal
249953,Frederick Richard,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal
249954,Frederick Richard,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal
249955,Frederick Richard,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Rings,No medal
249956,Frederick Richard,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Vault,No medal
249957,Frederick Richard,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Team,Bronze
249958,Hezly Rivera,F,United States,USA,2024,Paris,Artistic Gymnastics,Women,No medal
249959,Hezly Rivera,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Balance Beam,No medal
249960,Hezly Rivera,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Floor Exercise,No medal
249961,Hezly Rivera,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Uneven Bars,No medal
249962,Hezly Rivera,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Vault,No medal
249963,Hezly Rivera,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Team,Gold
249964,Jade Carey,F,United States,USA,2024,Paris,Artistic Gymnastics,Women,No medal
249965,Jade Carey,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Balance Beam,No medal
249966,Jade Carey,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Floor Exercise,No medal
249967,Jade Carey,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Uneven Bars,No medal
249968,Jade Carey,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Vault,Bronze
249969,Jade Carey,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Team,Gold
249970,Jessica Stevens,F,United States,USA,2024,Paris,Trampoline Gymnastics,Women,No medal
249971,Brody Malone,M,United States,USA,2024,Paris,Artistic Gymnastics,Men,No medal
249972,Brody Malone,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's All-Around,No medal
249973,Brody Malone,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal
249974,Brody Malone,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal
249975,Brody Malone,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal
249976,Brody Malone,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal
249977,Brody Malone,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Rings,No medal
249978,Brody Malone,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Vault,No medal
249979,Brody Malone,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Team,Bronze
249980,Jordan Chiles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women,No medal
249981,Jordan Chiles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's All-Around,No medal
249982,Jordan Chiles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Balance Beam,No medal
249983,Jordan Chiles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Floor Exercise,No medal
249984,Jordan Chiles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Uneven Bars,No medal
249985,Jordan Chiles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Vault,No medal
249986,Jordan Chiles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Team,Gold
249987,Paul Juda,M,United States,USA,2024,Paris,Artistic Gymnastics,Men,No medal
249988,Paul Juda,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's All-Around,No medal
249989,Paul Juda,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal
249990,Paul Juda,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal
249991,Paul Juda,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal
249992,Paul Juda,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal
249993,Paul Juda,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Rings,No medal
249994,Paul Juda,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Vault,No medal
249995,Paul Juda,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Team,Bronze
249996,Simone Biles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women,No medal
249997,Simone Biles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's All-Around,Gold
249998,Simone Biles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Balance Beam,No medal
249999,Simone Biles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Floor Exercise,Silver
250000,Simone Biles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Uneven Bars,No medal
250001,Simone Biles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Vault,Gold
250002,Simone Biles,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Team,Gold
250003,Stephen Nedoroscik,M,United States,USA,2024,Paris,Artistic Gymnastics,Men,No medal
250004,Stephen Nedoroscik,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal
250005,Stephen Nedoroscik,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal
250006,Stephen Nedoroscik,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal
250007,Stephen Nedoroscik,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,Bronze
250008,Stephen Nedoroscik,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Rings,No medal
250009,Stephen Nedoroscik,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Vault,No medal
250010,Stephen Nedoroscik,M,United States,USA,2024,Paris,Artistic Gymnastics,Men's Team,Bronze
250011,Sunisa Lee,F,United States,USA,2024,Paris,Artistic Gymnastics,Women,No medal
250012,Sunisa Lee,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's All-Around,Bronze
250013,Sunisa Lee,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Balance Beam,No medal
250014,Sunisa Lee,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Floor Exercise,No medal
250015,Sunisa Lee,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Uneven Bars,Bronze
250016,Sunisa Lee,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Vault,No medal
250017,Sunisa Lee,F,United States,USA,2024,Paris,Artistic Gymnastics,Women's Team,Gold
250040,Vernon Norwood,M,United States,USA,2024,Paris,Athletics,Men's 4 x 400m Relay,Gold
250041,Vernon Norwood,M,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
250042,Aleia Hobbs,F,United States,USA,2024,Paris,Athletics,Women's 4 x 100m Relay,Gold
250043,Abdihamid Nur,M,United States,USA,2024,Paris,Athletics,Men's 5000m,No medal
250044,Christian Coleman,M,United States,USA,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
250045,Nikki Hiltz,F,United States,USA,2024,Paris,Athletics,Women's 1500m,No medal
250046,Emily Mackay,F,United States,USA,2024,Paris,Athletics,Women's 1500m,No medal
250047,Elle St.,F,United States,USA,2024,Paris,Athletics,Women's 1500m,No medal
250048,Freddie Crittenden,M,United States,USA,2024,Paris,Athletics,Men's 110m Hurdles,No medal
250049,Heath Baldwin,M,United States,USA,2024,Paris,Athletics,Men's Decathlon,No medal
250050,Jarrion Lawson,M,United States,USA,2024,Paris,Athletics,Men's Long Jump,No medal
250051,Karissa Schweizer,F,United States,USA,2024,Paris,Athletics,"Women's 10,000m",No medal
250052,Karissa Schweizer,F,United States,USA,2024,Paris,Athletics,Women's 5000m,No medal
250053,Lynna Irby-jackson,F,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,No medal
250054,Masai Russell,F,United States,USA,2024,Paris,Athletics,Women's 100m Hurdles,Gold
250055,Noah Lyles,M,United States,USA,2024,Paris,Athletics,Men's 100m,Gold
250056,Noah Lyles,M,United States,USA,2024,Paris,Athletics,Men's 200m,Bronze
250057,Noah Lyles,M,United States,USA,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
250058,Quincy Hall,M,United States,USA,2024,Paris,Athletics,Men's 400m,Gold
250059,Quincy Hall,M,United States,USA,2024,Paris,Athletics,Men's 4 x 400m Relay,Gold
250060,Sam Kendricks,M,United States,USA,2024,Paris,Athletics,Men's Pole Vault,Silver
250061,Shamier Little,F,United States,USA,2024,Paris,Athletics,Women's 4 x 400m Relay,Gold
250062,Shamier Little,F,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
250063,Sha'carri Richardson,F,United States,USA,2024,Paris,Athletics,Women's 100m,Silver
250064,Sha'carri Richardson,F,United States,USA,2024,Paris,Athletics,Women's 4 x 100m Relay,Gold
250065,William Kincaid,M,United States,USA,2024,Paris,Athletics,"Men's 10,000m",No medal
250087,Anna Cockrell,F,United States,USA,2024,Paris,Athletics,Women's 400m Hurdles,Silver
250088,Brittany Brown,F,United States,USA,2024,Paris,Athletics,Women's 200m,Bronze
250089,Bryce Deadmon,M,United States,USA,2024,Paris,Athletics,Men's 4 x 400m Relay,Gold
250090,Bryce Deadmon,M,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
250091,Christopher Bailey,M,United States,USA,2024,Paris,Athletics,Men's 400m,No medal
250092,Christopher Bailey,M,United States,USA,2024,Paris,Athletics,Men's 4 x 400m Relay,Gold
250093,Cj Allen,M,United States,USA,2024,Paris,Athletics,Men's 400m Hurdles,No medal
250094,Dakotah Lindwurm,F,United States,USA,2024,Paris,Athletics,Women's Marathon,No medal
250095,Elise Cranny,F,United States,USA,2024,Paris,Athletics,Women's 5000m,No medal
250096,Joseph Brown,M,United States,USA,2024,Paris,Athletics,Men's Discus Throw,No medal
250097,Kaylyn Brown,F,United States,USA,2024,Paris,Athletics,Women's 4 x 400m Relay,Gold
250098,Kaylyn Brown,F,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
250099,Graham Blanks,M,United States,USA,2024,Paris,Athletics,Men's 5000m,No medal
250100,Kenneth Bednarek,M,United States,USA,2024,Paris,Athletics,Men's 100m,No medal
250101,Kenneth Bednarek,M,United States,USA,2024,Paris,Athletics,Men's 200m,Silver
250102,Kenneth Bednarek,M,United States,USA,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
250103,Malcolm Clemons,M,United States,USA,2024,Paris,Athletics,Men's Long Jump,No medal
250104,Matthew Boling,M,United States,USA,2024,Paris,Athletics,Men's 4 x 400m Relay,No medal
250105,Nia Akins,F,United States,USA,2024,Paris,Athletics,Women's 800m,No medal
250106,Rai Benjamin,M,United States,USA,2024,Paris,Athletics,Men's 400m Hurdles,Gold
250107,Rai Benjamin,M,United States,USA,2024,Paris,Athletics,Men's 4 x 400m Relay,Gold
250108,Ryan Crouser,M,United States,USA,2024,Paris,Athletics,Men's Shot Put,Gold
250109,Taliyah Brooks,F,United States,USA,2024,Paris,Athletics,Women's Heptathlon,No medal
250110,Tamari Davis,F,United States,USA,2024,Paris,Athletics,Women's 4 x 100m Relay,Gold
250111,Tara Davis-woodhall,F,United States,USA,2024,Paris,Athletics,Women's Long Jump,Gold
250112,Trevor Bassitt,M,United States,USA,2024,Paris,Athletics,Men's 400m Hurdles,No medal
250113,Valarie Allman,F,United States,USA,2024,Paris,Athletics,Women's Discus Throw,Gold
250114,Valerie Constien,F,United States,USA,2024,Paris,Athletics,Women's 3000m Steeplechase,No medal
250115,Vashti Cunningham,F,United States,USA,2024,Paris,Athletics,Women's High Jump,No medal
250138,Nneka Echikunwoke,F,United States,USA,2024,Paris,Athletics,Women's Hammer Throw,Silver
250139,Andrew Evans,M,United States,USA,2024,Paris,Athletics,Men's Discus Throw,No medal
250140,Anna Hall,F,United States,USA,2024,Paris,Athletics,Women's Heptathlon,No medal
250141,Alexis Holmes,F,United States,USA,2024,Paris,Athletics,Women's 400m,No medal
250142,Alexis Holmes,F,United States,USA,2024,Paris,Athletics,Women's 4 x 400m Relay,Gold
250143,Alaysha Johnson,F,United States,USA,2024,Paris,Athletics,Women's 100m Hurdles,No medal
250144,Bryce Hoppel,M,United States,USA,2024,Paris,Athletics,Men's 800m,No medal
250145,Hobbs Kessler,M,United States,USA,2024,Paris,Athletics,Men's 1500m,No medal
250146,Hobbs Kessler,M,United States,USA,2024,Paris,Athletics,Men's 800m,No medal
250147,Chase Jackson,F,United States,USA,2024,Paris,Athletics,Women's Shot Put,No medal
250148,Chari Hawkins,F,United States,USA,2024,Paris,Athletics,Women's Heptathlon,No medal
250149,Cole Hocker,M,United States,USA,2024,Paris,Athletics,Men's 1500m,Gold
250150,Daniel Haugh,M,United States,USA,2024,Paris,Athletics,Men's Hammer Throw,No medal
250151,Fred Kerley,M,United States,USA,2024,Paris,Athletics,Men's 100m,Bronze
250152,Fred Kerley,M,United States,USA,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
250153,Grant Fisher,M,United States,USA,2024,Paris,Athletics,"Men's 10,000m",Bronze
250154,Grant Fisher,M,United States,USA,2024,Paris,Athletics,Men's 5000m,Bronze
250155,Grant Holloway,M,United States,USA,2024,Paris,Athletics,Men's 110m Hurdles,Gold
250156,Jameesia Ford,F,United States,USA,2024,Paris,Athletics,Women's 4 x 400m Relay,No medal
250157,Juvaughn Harrison,M,United States,USA,2024,Paris,Athletics,Men's High Jump,No medal
250158,Kendall Ellis,F,United States,USA,2024,Paris,Athletics,Women's 400m,No medal
250159,Kendall Ellis,F,United States,USA,2024,Paris,Athletics,Women's 4 x 400m Relay,Gold
250160,Marisa Howard,F,United States,USA,2024,Paris,Athletics,Women's 3000m Steeplechase,No medal
250161,Melissa Jefferson,F,United States,USA,2024,Paris,Athletics,Women's 100m,Bronze
250162,Melissa Jefferson,F,United States,USA,2024,Paris,Athletics,Women's 4 x 100m Relay,Gold
250163,Quanera Hayes,F,United States,USA,2024,Paris,Athletics,Women's 4 x 400m Relay,Gold
250164,Tori Franklin,F,United States,USA,2024,Paris,Athletics,Women's Triple Jump,No medal
250167,Veronica Fraley,F,United States,USA,2024,Paris,Athletics,Women's Discus Throw,No medal
250169,Weini Kelati,F,United States,USA,2024,Paris,Athletics,"Women's 10,000m",No medal
250477,McRAE Khaleb,M,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,No medal
250478,Monae' Nichols,F,United States,USA,2024,Paris,Athletics,Women's Long Jump,No medal
250496,Brandon Miller,M,United States,USA,2024,Paris,Athletics,Men's 800m,No medal
250497,Courtney Lindsey,M,United States,USA,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
250498,Courtney Lindsey,M,United States,USA,2024,Paris,Athletics,Men's 4 x 400m Relay,Gold
250499,Conner Mantz,M,United States,USA,2024,Paris,Athletics,Men's Marathon,No medal
250500,Christopher Nilsen,M,United States,USA,2024,Paris,Athletics,Men's Pole Vault,No medal
250501,Deanna Price,F,United States,USA,2024,Paris,Athletics,Women's Hammer Throw,No medal
250502,Daniel Roberts,M,United States,USA,2024,Paris,Athletics,Men's 110m Hurdles,Silver
250503,Erriyon Knighton,M,United States,USA,2024,Paris,Athletics,Men's 200m,No medal
250504,Erin Reese,F,United States,USA,2024,Paris,Athletics,Women's Hammer Throw,No medal
250505,Fiona O'keeffe,F,United States,USA,2024,Paris,Athletics,Women's Marathon,No medal
250506,Joe Kovacs,M,United States,USA,2024,Paris,Athletics,Men's Shot Put,Silver
250507,Jasmine Moore,F,United States,USA,2024,Paris,Athletics,Women's Long Jump,Bronze
250508,Jasmine Moore,F,United States,USA,2024,Paris,Athletics,Women's Triple Jump,Bronze
250509,Jenna Prandini,F,United States,USA,2024,Paris,Athletics,Women's 4 x 100m Relay,No medal
250510,Kyree King,M,United States,USA,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
250511,Katie Moon,F,United States,USA,2024,Paris,Athletics,Women's Pole Vault,Silver
250512,Keturah Orji,F,United States,USA,2024,Paris,Athletics,Women's Triple Jump,No medal
250513,Leonard Korir,M,United States,USA,2024,Paris,Athletics,Men's Marathon,No medal
250514,Mckenzie Long,F,United States,USA,2024,Paris,Athletics,Women's 200m,No medal
250515,Maggie Malone-hardin,F,United States,USA,2024,Paris,Athletics,Women's Javelin Throw,No medal
250516,Michael Norman,M,United States,USA,2024,Paris,Athletics,Men's 400m,No medal
250517,Michael Norman,M,United States,USA,2024,Paris,Athletics,Men's 4 x 400m Relay,Gold
250518,Payton Otterdahl,M,United States,USA,2024,Paris,Athletics,Men's Shot Put,No medal
250519,Russell Robinson,M,United States,USA,2024,Paris,Athletics,Men's Triple Jump,No medal
250520,Salif Mane,M,United States,USA,2024,Paris,Athletics,Men's Triple Jump,No medal
250521,Sam Mattis,M,United States,USA,2024,Paris,Athletics,Men's Discus Throw,No medal
250522,McEWEN Shelby,M,United States,USA,2024,Paris,Athletics,Men's High Jump,Silver
250523,McLAUGHLIN-LEVRONE Sydney,F,United States,USA,2024,Paris,Athletics,Women's 400m Hurdles,Gold
250524,McLAUGHLIN-LEVRONE Sydney,F,United States,USA,2024,Paris,Athletics,Women's 4 x 400m Relay,Gold
250525,Whittni Morgan,F,United States,USA,2024,Paris,Athletics,Women's 5000m,No medal
250526,Yared Nuguse,M,United States,USA,2024,Paris,Athletics,Men's 1500m,Bronze
250600,Courtney Wayment,F,United States,USA,2024,Paris,Athletics,Women's 3000m Steeplechase,No medal
250601,Allie Wilson,F,United States,USA,2024,Paris,Athletics,Women's 800m,No medal
250602,Bridget Williams,F,United States,USA,2024,Paris,Athletics,Women's Pole Vault,No medal
250603,Curtis Thompson,M,United States,USA,2024,Paris,Athletics,Men's Javelin Throw,No medal
250604,Clayton Young,M,United States,USA,2024,Paris,Athletics,Men's Marathon,No medal
250605,Donald Scott,M,United States,USA,2024,Paris,Athletics,Men's Triple Jump,No medal
250606,Emily Sisson,F,United States,USA,2024,Paris,Athletics,Women's Marathon,No medal
250607,Gabrielle Thomas,F,United States,USA,2024,Paris,Athletics,Women's 200m,Gold
250608,Gabrielle Thomas,F,United States,USA,2024,Paris,Athletics,Women's 4 x 100m Relay,Gold
250609,Gabrielle Thomas,F,United States,USA,2024,Paris,Athletics,Women's 4 x 400m Relay,Gold
250610,Harrison Williams,M,United States,USA,2024,Paris,Athletics,Men's Decathlon,No medal
250611,Jaida Ross,F,United States,USA,2024,Paris,Athletics,Women's Shot Put,No medal
250612,Jayden Ulrich,F,United States,USA,2024,Paris,Athletics,Women's Discus Throw,No medal
250613,Juliette Whittaker,F,United States,USA,2024,Paris,Athletics,Women's 800m,No medal
250614,Jacob Wooten,M,United States,USA,2024,Paris,Athletics,Men's Pole Vault,No medal
250615,Kenneth Rooks,M,United States,USA,2024,Paris,Athletics,Men's 3000m Steeplechase,Silver
250616,Kendal Williams,M,United States,USA,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
250617,Matthew Wilkinson,M,United States,USA,2024,Paris,Athletics,Men's 3000m Steeplechase,No medal
250618,Raven Saunders,F,United States,USA,2024,Paris,Athletics,Women's Shot Put,No medal
250619,Rudy Winkler,M,United States,USA,2024,Paris,Athletics,Men's Hammer Throw,No medal
250620,Twanisha Terry,F,United States,USA,2024,Paris,Athletics,Women's 100m,No medal
250621,Twanisha Terry,F,United States,USA,2024,Paris,Athletics,Women's 4 x 100m Relay,Gold
250622,Vernon Turner,M,United States,USA,2024,Paris,Athletics,Men's High Jump,No medal
250623,Zachery Ziemek,M,United States,USA,2024,Paris,Athletics,Men's Decathlon,No medal
252157,Megan Valzonis,F,United States,USA,2024,Paris,Hockey,Women,No medal
252430,Matai Leuta,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
252475,Croix Bethune,F,United States,USA,2024,Paris,Football,Women,Gold
252541,Rachel Glenn,F,United States,USA,2024,Paris,Athletics,Women's High Jump,No medal
252542,Nico Young,M,United States,USA,2024,Paris,Athletics,"Men's 10,000m",No medal
252543,Aaliyah Butler,F,United States,USA,2024,Paris,Athletics,Women's 400m,No medal
252544,Aaliyah Butler,F,United States,USA,2024,Paris,Athletics,Women's 4 x 400m Relay,Gold
252545,Jasmine Jones,F,United States,USA,2024,Paris,Athletics,Women's 400m Hurdles,No medal
252546,Isabella Whittaker,F,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
252547,Parker Valby,F,United States,USA,2024,Paris,Athletics,"Women's 10,000m",No medal
252548,James Corrigan,M,United States,USA,2024,Paris,Athletics,Men's 3000m Steeplechase,No medal
252549,Jeremiah Davis,M,United States,USA,2024,Paris,Athletics,Men's Long Jump,No medal
252550,Quincy Wilson,M,United States,USA,2024,Paris,Athletics,Men's 4 x 400m Relay,Gold
252551,Quincy Wilson,M,United States,USA,2024,Paris,Athletics,4 x 400m Relay Mixed,Silver
252552,Brynn King,F,United States,USA,2024,Paris,Athletics,Women's Pole Vault,No medal
252553,Grace Stark,F,United States,USA,2024,Paris,Athletics,Women's 100m Hurdles,No medal
